year,pm10,pm25,ceiling2020
1970,689.4441808,545.7867865,
1971,634.1621341,483.8347318,
1972,560.9694777,424.8252598,
1973,584.8539377,432.1991855,
1974,531.6863499,400.9671932,
1975,503.9607315,354.4180573,
1976,492.3739936,347.7147388,
1977,486.6122988,345.1682891,
1978,476.5916391,331.9321104,
1979,479.7340752,339.4719979,
1980,441.5809468,301.1428487,
1981,423.5901134,286.6517124,
1982,414.401295,282.0012754,
1983,408.630613,272.4287316,
1984,365.2882431,245.8150786,
1985,403.2742826,270.731861,
1986,414.7526489,281.755537,
1987,405.4815127,259.0685019,
1988,397.6590629,253.8593101,
1989,399.6353974,250.6308133,
1990,381.4173979,241.2363259,
1991,379.6357987,241.3509924,
1992,357.8618305,231.6857021,
1993,329.090591,214.2018952,
1994,310.8337683,204.1771164,
1995,288.3639608,187.4808286,
1996,287.242996,184.3745691,
1997,270.3986371,175.2990635,
1998,256.2223807,166.7065121,
1999,251.804621,165.0181393,
2000,238.3797945,150.3655433,
2001,244.8067299,149.7133636,
2002,215.1718177,132.904568,
2003,229.4691354,134.129295,
2004,213.0543533,130.7939186,
2005,207.8206262,129.1569059,
2006,201.631337,126.8083566,
2007,190.2247979,120.3280497,
2008,182.1484108,119.3794547,
2009,172.4500331,113.5682181,
2010,189.0860522,122.1089484,
2011,171.7402108,110.1319324,
2012,171.7551733,115.4883493,
2013,180.929445,118.1964831,
2014,172.4327546,111.7362305,
2015,171.0674925,111.3696052,
2016,172.1671758,109.2079244,
2017,178.1881939,109.6525296,
2018,175.8019324,111.7653701,
2019,170.2159873,108.7110853,
2020,,,90.40983415
2021,,,90.40983415
2022,,,90.40983415
2023,,,90.40983415
2024,,,90.40983415
2025,,,90.40983415
2026,,,90.40983415
2027,,,90.40983415
2028,,,90.40983415
2029,,,90.40983415
