Sector,Year,Emissions,ver
Total,1990,381.4173979,OK
Total,2005,207.8206262,OK
Total,2018,175.8019324,OK
Total,2019,170.2159873,OK
Industrial processes and use of solvents,1990,103.8380997,OK
Industrial processes and use of solvents,2005,70.0877065,OK
Industrial processes and use of solvents,2018,53.97319544,OK
Industrial processes and use of solvents,2019,50.9812532,OK
Domestic combustion,1990,44.19717111,OK
Domestic combustion,2005,29.32120931,OK
Domestic combustion,2018,48.44062651,OK
Domestic combustion,2019,48.21717627,OK
Road transport,1990,34.78105439,OK
Road transport,2005,30.63137459,OK
Road transport,2018,20.1964765,OK
Road transport,2019,20.22063138,OK
Manufacturing Industries and Construction,1990,42.8767686,OK
Manufacturing Industries and Construction,2005,22.60225143,OK
Manufacturing Industries and Construction,2018,21.31464998,OK
Manufacturing Industries and Construction,2019,19.93497622,OK
Other,1990,155.7243042,OK
Other,2005,55.17808432,OK
Other,2018,31.87698402,OK
Other,2019,30.86195027,OK
