année,CH4,CO2,N2O
1990,2779.75,17247.96,211.20
1991,2738.51,17419.67,214.73
1992,2681.36,17410.78,217.07
1993,2636.64,17575.22,220.89
1994,2594.14,17718.91,224.91
1995,2578.11,18246.58,231.06
1996,2583.59,18671.03,238.28
1997,2580.39,18939.43,243.09
1998,2555.15,19093.49,247.00
1999,2548.80,19153.57,247.73
2000,2564.98,19769.57,251.35
2001,2584.54,19992.27,250.83
2002,2592.54,20224.30,252.35
2003,2640.62,21123.31,255.22
2004,2665.74,22114.67,256.71
2005,2668.72,22915.32,257.81
2006,2728.24,23606.25,258.97
2007,2775.14,24489.38,259.72
2008,2838.53,24551.09,261.06
2009,2846.62,24206.27,258.99
2010,2908.83,25713.67,264.20
2011,2934.82,26484.26,263.51
2012,2966.27,26715.61,261.60
2013,2994.98,27156.53,264.10
2014,3037.28,27147.89,263.58
2015,3074.29,27028.78,264.21
2016,3081.73,26899.03,264.40
2017,3094.77,27278.42,265.28
2018,3107.81,27818.18,266.15
